Date,Front,Next,Asset,Sector,Carry,Returns,Carry_Z_252,Carry_Z_756,Carry_Z_1260,Carry_Z_2520,Carry_Z,Binary_Carry,Rank_Carry
2015-05-18,1.1314,1.1147,EUR_USD,Currencies,-0.17844592216173016,,,,,,,-1.0,-0.9915676504407819
2015-05-19,1.1147,1.1091,EUR_USD,Currencies,-0.060437217418582656,-0.014760473749337089,,,,,,-1.0,-0.7416634725948639
2015-05-20,1.1091,1.1112,EUR_USD,Currencies,0.022699641953258135,-0.0050237732125235635,,,,,,1.0,0.362974319662706
2015-05-21,1.1112,1.1015,EUR_USD,Currencies,-0.10521150237283525,0.0018934271030566219,,,,,,-1.0,-0.9440398620160981
2015-05-22,1.1015,1.0975,EUR_USD,Currencies,-0.04365625551685677,-0.008729301655867605,,,,,,-1.0,-0.5998466845534688
2015-05-25,1.0975,1.0873,EUR_USD,Currencies,-0.1120476833474718,-0.0036314117113027677,,,,,,-1.0,-0.9524722115753163
2015-05-26,1.0873,1.0903,EUR_USD,Currencies,0.03306394450358995,-0.009293849658314368,,,,,,1.0,0.4994250670755078
2015-05-27,1.0903,1.0946,EUR_USD,Currencies,0.047233343969779344,0.0027591281155157077,,,,,,1.0,0.649674204676121
2015-05-28,1.0946,1.0987,EUR_USD,Currencies,0.0448639559642085,0.003943868660001737,,,,,,1.0,0.6251437332311229
2015-05-29,1.0987,1.0925,EUR_USD,Currencies,-0.06790817684507983,0.003745660515256599,,,,,,-1.0,-0.7815254886929859
2015-06-01,1.0925,1.1152,EUR_USD,Currencies,0.24678135643817128,-0.0056430326749794535,,,,,,1.0,0.9977002683020315
2015-06-02,1.1152,1.1274,EUR_USD,Currencies,0.13056402769458283,0.020778032036613325,,,,,,1.0,0.9655040245304713
2015-06-03,1.1274,1.1237,EUR_USD,Currencies,-0.039447416803415625,0.010939741750358722,,,,,,-1.0,-0.5599846684553469
2015-06-04,1.1237,1.1111,EUR_USD,Currencies,-0.13531555588672353,-0.0032818875288274096,,,,,,-1.0,-0.9762361057876581
2015-06-05,1.1111,1.1291,EUR_USD,Currencies,0.19284407515816268,-0.011212957194980833,,,,,,1.0,0.991567650440782
2015-06-08,1.1291,1.1283,EUR_USD,Currencies,-0.008505360504912438,0.01620016200162011,,,,,,-1.0,-0.12993484093522423
2015-06-09,1.1283,1.1324,EUR_USD,Currencies,0.04352638912012991,-0.0007085289168363706,,,,,,1.0,0.6101954771943274
2015-06-10,1.1324,1.1257,EUR_USD,Currencies,-0.07121051852383672,0.003633785340778184,,,,,,-1.0,-0.8022230739747029
2015-06-11,1.1257,1.1268,EUR_USD,Currencies,0.01172031169751184,-0.005916637230660715,,,,,,1.0,0.19432732847834422
2015-06-12,1.1268,1.1283,EUR_USD,Currencies,0.015963817706194466,0.0009771697610376773,,,,,,1.0,0.270218474511307
2015-06-15,1.1283,1.1246,EUR_USD,Currencies,-0.03941589943558959,0.0013312034078807322,,,,,,-1.0,-0.5592180912226907
2015-06-16,1.1246,1.1335,EUR_USD,Currencies,0.09459328907378625,-0.0032792696977754776,,,,,,1.0,0.9018781142200076
2015-06-17,1.1335,1.1358,EUR_USD,Currencies,0.024324689948982365,0.007913924951093554,,,,,,1.0,0.38980452280567257
2015-06-18,1.1358,1.1352,EUR_USD,Currencies,-0.006340819169990523,0.0020291133656815674,,,,,,-1.0,-0.0862399386738214
2015-06-19,1.1352,1.134,EUR_USD,Currencies,-0.012691698697627755,-0.0005282620179608566,,,,,,-1.0,-0.19739363740896898
