Date,Front,Next,Asset,Sector,Carry,Returns,Carry_Z_252,Carry_Z_756,Carry_Z_1260,Carry_Z_2520,Carry_Z,Binary_Carry,Rank_Carry
2015-05-18,2129.2,2127.8,S&P 500,Equities,-0.00789288259603734,,,,,,,-1.0,-0.16978131212723657
2015-05-19,2127.8,2125.8,S&P 500,Equities,-0.011284559793412738,-0.0006575239526580567,,,,,,-1.0,-0.20636182902584488
2015-05-20,2125.8,2130.8,S&P 500,Equities,0.028191527320353862,-0.0009399379640944172,,,,,,1.0,0.21590457256461226
2015-05-21,2130.8,2126.1,S&P 500,Equities,-0.026498166702290292,0.0023520556966789563,,,,,,-1.0,-0.3669980119284294
2015-05-22,2126.1,2104.2,S&P 500,Equities,-0.12424761732159142,-0.002205744321381764,,,,,,-1.0,-0.774155069582505
2015-05-26,2104.2,2123.5,S&P 500,Equities,0.10956388054966348,-0.010300550303372402,,,,,,1.0,0.6930417495029821
2015-05-27,2123.5,2120.8,S&P 500,Equities,-0.015267537342120358,0.00917213192662314,,,,,,-1.0,-0.247713717693837
2015-05-28,2120.8,2107.4,S&P 500,Equities,-0.07606098971266301,-0.0012714857546503033,,,,,,-1.0,-0.6246520874751491
2015-05-29,2107.4,2111.7,S&P 500,Equities,0.024460201401218698,-0.006318370426254272,,,,,,1.0,0.18330019880715698
2015-06-01,2111.7,2109.6,S&P 500,Equities,-0.011939450917423291,0.002040428964600771,,,,,,-1.0,-0.21431411530815114
2015-06-02,2109.6,2114.1,S&P 500,Equities,0.025570007544114086,-0.0009944594402613305,,,,,,1.0,0.18807157057654078
2015-06-03,2114.1,2095.8,S&P 500,Equities,-0.1043261755229404,0.00213310580204773,,,,,,-1.0,-0.7375745526838966
2015-06-04,2095.8,2092.8,S&P 500,Equities,-0.017189517335540503,-0.00865616574428818,,,,,,-1.0,-0.26918489065606366
2015-06-05,2092.8,2079.3,S&P 500,Equities,-0.07765900404996967,-0.0014314342971657457,,,,,,-1.0,-0.631013916500994
2015-06-08,2079.3,2080.2,S&P 500,Equities,0.005192931923806959,-0.006450688073394439,,,,,,1.0,-0.026640159045725698
2015-06-09,2080.2,2105.2,S&P 500,Equities,0.14335717872709508,0.0004328379743181454,,,,,,1.0,0.805168986083499
2015-06-10,2105.2,2108.9,S&P 500,Equities,0.021072120457138785,0.01201807518507847,,,,,,1.0,0.1483101391650099
