Date,Front,Next,Carry
2015-05-18,2.234,2.29,0.29709740302967197
2015-05-19,2.29,2.257,-0.1741838367689946
2015-05-20,2.257,2.195,-0.3342534156991685
2015-05-21,2.195,2.215,0.10884428363957135
2015-05-22,2.215,2.204,-0.059742146477169716
2015-05-25,2.204,2.142,-0.3424070311813335
2015-05-26,2.142,2.13,-0.06741590765067913
2015-05-27,2.13,2.135,0.028136003511048654
2015-05-28,2.135,2.123,-0.0676375675136242
2015-05-29,2.123,2.123,0.0
2015-05-30,2.123,2.183,0.3344387381602517
2015-06-01,2.183,2.266,0.4477930204560925
2015-06-02,2.266,2.361,0.49282914597073557
2015-06-03,2.361,2.309,-0.2672487327722108
2015-06-04,2.309,2.409,0.5087663191245111
2015-06-05,2.409,2.382,-0.13525503239550926
2015-06-08,2.382,2.442,0.2985228570648564
2015-06-09,2.442,2.486,0.21429140880007766
2015-06-10,2.486,2.381,-0.5178531070055259
2015-06-11,2.381,2.39,0.045273581264325624
2015-06-12,2.39,2.36,-0.15158096287080824
2015-06-15,2.36,2.309,-0.26216506398192296
2015-06-16,2.309,2.32,0.05703186367032102
2015-06-17,2.32,2.334,0.07219617823374833
2015-06-18,2.334,2.261,-0.38131608682237733
2015-06-19,2.261,2.374,0.5852292346997217
2015-06-22,2.374,2.414,0.20050591785436167
2015-06-23,2.414,2.373,-0.20556174266055904
2015-06-24,2.373,2.412,0.19561561693574842
2015-06-25,2.412,2.474,0.30455994126428765
2015-06-26,2.474,2.328,-0.7299209292132585
2015-06-29,2.328,2.349,0.10776210969101446
2015-06-30,2.349,2.427,0.39199465281226203
2015-07-01,2.427,2.386,-0.20445123682487892
2015-07-02,2.386,2.29,-0.4927980733149129
2015-07-06,2.29,2.255,-0.18482213533808042
2015-07-07,2.255,2.197,-0.31268615462602123
2015-07-08,2.197,2.317,0.6381654245731918
2015-07-09,2.317,2.401,0.4273448614665233
2015-07-10,2.401,2.446,0.22282464031037558
2015-07-13,2.446,2.397,-0.24283298175280177
2015-07-14,2.397,2.356,-0.20703227595488372
2015-07-15,2.356,2.356,0.0
2015-07-16,2.356,2.347,-0.04592818704544584
2015-07-17,2.347,2.347,0.0
2015-07-18,2.347,2.38,0.16755084977396142
2015-07-20,2.38,2.331,-0.24963753155715807
2015-07-21,2.331,2.327,-0.020609708801584907
2015-07-22,2.327,2.269,-0.302888142269399
2015-07-23,2.269,2.262,-0.03707793724531237
2015-07-24,2.262,2.216,-0.2465473057066951
2015-07-27,2.216,2.25,0.1827173679754966
2015-07-28,2.25,2.289,0.20621789704921165
2015-07-29,2.289,2.257,-0.16894251762037155
2015-07-30,2.257,2.187,-0.3780690736892153
2015-07-31,2.187,2.15,-0.20475479466071164
2015-08-03,2.15,2.223,0.40067751410985813
2015-08-04,2.223,2.27,0.2510663581350224
2015-08-05,2.27,2.227,-0.22949331861696953
2015-08-06,2.227,2.166,-0.33327887635718034
2015-08-07,2.166,2.232,0.36019075128318945
2015-08-10,2.232,2.143,-0.48829593633149726
2015-08-11,2.143,2.148,0.027965521862142108
2015-08-12,2.148,2.189,0.22689170272929188
2015-08-13,2.189,2.201,0.06560380804318598
2015-08-14,2.201,2.17,-0.1702156199034783
2015-08-17,2.17,2.192,0.12104641840081339
2015-08-18,2.192,2.129,-0.3499437980931209
2015-08-19,2.129,2.073,-0.3198666294923991
2015-08-20,2.073,2.045,-0.16318852750652968
2015-08-21,2.045,2.012,-0.19522244708726721
2015-08-24,2.012,2.078,0.3873196852745136
2015-08-25,2.078,2.18,0.5750278094875456
2015-08-26,2.18,2.191,0.06039820574798011
2015-08-27,2.191,2.184,-0.03840003276804815
2015-08-28,2.184,2.214,0.16371331684543775
2015-08-31,2.214,2.159,-0.30186819304529855
2015-09-01,2.159,2.188,0.16011279632477676
2015-09-02,2.188,2.163,-0.13790085106575914
2015-09-03,2.163,2.131,-0.17885752625329993
2015-09-04,2.131,2.151,0.11209796602935519
2015-09-07,2.151,2.186,0.19368647362504612
2015-09-08,2.186,2.195,0.049303881273452636
2015-09-09,2.195,2.227,0.1736801009771522
2015-09-10,2.227,2.187,-0.21749575896719797
2015-09-11,2.187,2.183,-0.02196796952188709
2015-09-14,2.183,2.292,0.584696655416236
2015-09-15,2.292,2.296,0.020924155257922048
2015-09-16,2.296,2.192,-0.5562493124586088
2015-09-17,2.192,2.134,-0.3217945944744919
2015-09-18,2.134,2.199,0.3600547043167496
2015-09-21,2.199,2.132,-0.371306463228311
2015-09-22,2.132,2.151,0.10646812778393575
2015-09-23,2.151,2.128,-0.12900334567433933
2015-09-24,2.128,2.166,0.21239492519281028
2015-09-25,2.166,2.098,-0.3827716632563216
2015-09-28,2.098,2.06,-0.21934232607138748
2015-09-29,2.06,2.035,-0.14652196688317676
2015-09-30,2.035,2.042,0.041206810174984634
2015-10-01,2.042,1.991,-0.3035123359249728
2015-10-02,1.991,1.991,0.0
2015-10-03,1.991,2.058,0.3971713479575828
2015-10-05,2.058,2.035,-0.13486582220759247
2015-10-06,2.035,2.065,0.17561289022125331
