Date,Front,Next
2015-05-18,2129.2,2127.8
2015-05-19,2127.8,2125.8
2015-05-20,2125.8,2130.8
2015-05-21,2130.8,2126.1
2015-05-22,2126.1,2104.2
2015-05-26,2104.2,2123.5
2015-05-27,2123.5,2120.8
2015-05-28,2120.8,2107.4
2015-05-29,2107.4,2111.7
2015-06-01,2111.7,2109.6
2015-06-02,2109.6,2114.1
2015-06-03,2114.1,2095.8
2015-06-04,2095.8,2092.8
2015-06-05,2092.8,2079.3
2015-06-08,2079.3,2080.2
2015-06-09,2080.2,2105.2
2015-06-10,2105.2,2108.9
2015-06-11,2108.9,2094.1
2015-06-12,2094.1,2084.4
2015-06-15,2084.4,2096.3
2015-06-16,2096.3,2100.4
2015-06-17,2100.4,2121.2
2015-06-18,2121.2,2110.0
2015-06-19,2110.0,2122.8
2015-06-22,2122.8,2124.2
2015-06-23,2124.2,2108.6
2015-06-24,2108.6,2102.3
2015-06-25,2102.3,2101.5
2015-06-26,2101.5,2057.6
2015-06-29,2057.6,2063.1
2015-06-30,2063.1,2077.4
2015-07-01,2077.4,2076.8
2015-07-02,2076.8,2068.8
2015-07-06,2068.8,2081.3
2015-07-07,2081.3,2046.7
2015-07-08,2046.7,2051.3
2015-07-09,2051.3,2076.6
2015-07-10,2076.6,2099.6
2015-07-13,2099.6,2108.9
2015-07-14,2108.9,2107.4
2015-07-15,2107.4,2124.3
2015-07-16,2124.3,2126.6
2015-07-17,2126.6,2128.3
2015-07-20,2128.3,2119.2
2015-07-21,2119.2,2114.2
2015-07-22,2114.2,2102.2
2015-07-23,2102.2,2079.7
2015-07-24,2079.7,2067.6
2015-07-27,2067.6,2093.2
2015-07-28,2093.2,2108.6
2015-07-29,2108.6,2108.6
2015-07-30,2108.6,2103.8
2015-07-31,2103.8,2098.0
2015-08-03,2098.0,2093.3
2015-08-04,2093.3,2099.8
2015-08-05,2099.8,2083.6
2015-08-06,2083.6,2077.6
2015-08-07,2077.6,2104.2
2015-08-10,2104.2,2084.1
2015-08-11,2084.1,2086.1
2015-08-12,2086.1,2083.4
2015-08-13,2083.4,2091.5
2015-08-14,2091.5,2102.4
2015-08-17,2102.4,2096.9
2015-08-18,2096.9,2079.6
2015-08-19,2079.6,2035.7
2015-08-20,2035.7,1970.9
2015-08-21,1970.9,1893.2
2015-08-24,1893.2,1867.6
2015-08-25,1867.6,1940.5
2015-08-26,1940.5,1987.7
2015-08-27,1987.7,1988.9
2015-08-28,1988.9,1972.2
2015-08-31,1972.2,1913.8
2015-09-01,1913.8,1948.9
2015-09-02,1948.9,1951.1
2015-09-03,1951.1,1921.2
2015-09-04,1921.2,1969.4
2015-09-08,1969.4,1942.0
2015-09-09,1942.0,1952.3
2015-09-10,1952.3,1961.0
2015-09-11,1961.0,1953.0
2015-09-14,1953.0,1978.1
2015-09-15,1978.1,1995.3
2015-09-16,1995.3,1990.2
2015-09-17,1990.2,1958.0
2015-09-18,1958.0,1967.0
2015-09-21,1967.0,1942.7
2015-09-22,1942.7,1938.8
2015-09-23,1938.8,1932.2
2015-09-24,1932.2,1931.3
2015-09-25,1931.3,1881.8
2015-09-28,1881.8,1884.1
2015-09-29,1884.1,1920.0
2015-09-30,1920.0,1923.8
2015-10-01,1923.8,1951.4
2015-10-02,1951.4,1987.0
2015-10-05,1987.0,1979.9
2015-10-06,1979.9,1995.8
2015-10-07,1995.8,2013.4
2015-10-08,2013.4,2014.9
2015-10-09,2014.9,2017.5
2015-10-12,2017.5,2003.7
2015-10-13,2003.7,1994.2
2015-10-14,1994.2,2023.9
