Date,Front,Next
2015-05-18,2.234,2.29
2015-05-19,2.29,2.257
2015-05-20,2.257,2.195
2015-05-21,2.195,2.215
2015-05-22,2.215,2.204
2015-05-25,2.204,2.142
2015-05-26,2.142,2.13
2015-05-27,2.13,2.135
2015-05-28,2.135,2.123
2015-05-29,2.123,2.123
2015-05-30,2.123,2.183
2015-06-01,2.183,2.266
2015-06-02,2.266,2.361
2015-06-03,2.361,2.309
2015-06-04,2.309,2.409
2015-06-05,2.409,2.382
2015-06-08,2.382,2.442
2015-06-09,2.442,2.486
2015-06-10,2.486,2.381
2015-06-11,2.381,2.39
2015-06-12,2.39,2.36
2015-06-15,2.36,2.309
2015-06-16,2.309,2.32
2015-06-17,2.32,2.334
2015-06-18,2.334,2.261
2015-06-19,2.261,2.374
2015-06-22,2.374,2.414
2015-06-23,2.414,2.373
2015-06-24,2.373,2.412
2015-06-25,2.412,2.474
2015-06-26,2.474,2.328
2015-06-29,2.328,2.349
2015-06-30,2.349,2.427
2015-07-01,2.427,2.386
2015-07-02,2.386,2.29
2015-07-06,2.29,2.255
2015-07-07,2.255,2.197
2015-07-08,2.197,2.317
2015-07-09,2.317,2.401
2015-07-10,2.401,2.446
2015-07-13,2.446,2.397
2015-07-14,2.397,2.356
2015-07-15,2.356,2.356
2015-07-16,2.356,2.347
2015-07-17,2.347,2.347
2015-07-18,2.347,2.38
2015-07-20,2.38,2.331
2015-07-21,2.331,2.327
2015-07-22,2.327,2.269
2015-07-23,2.269,2.262
2015-07-24,2.262,2.216
2015-07-27,2.216,2.25
2015-07-28,2.25,2.289
2015-07-29,2.289,2.257
2015-07-30,2.257,2.187
2015-07-31,2.187,2.15
2015-08-03,2.15,2.223
2015-08-04,2.223,2.27
2015-08-05,2.27,2.227
2015-08-06,2.227,2.166
2015-08-07,2.166,2.232
2015-08-10,2.232,2.143
2015-08-11,2.143,2.148
2015-08-12,2.148,2.189
2015-08-13,2.189,2.201
2015-08-14,2.201,2.17
2015-08-17,2.17,2.192
2015-08-18,2.192,2.129
2015-08-19,2.129,2.073
2015-08-20,2.073,2.045
2015-08-21,2.045,2.012
2015-08-24,2.012,2.078
2015-08-25,2.078,2.18
2015-08-26,2.18,2.191
2015-08-27,2.191,2.184
2015-08-28,2.184,2.214
2015-08-31,2.214,2.159
2015-09-01,2.159,2.188
2015-09-02,2.188,2.163
2015-09-03,2.163,2.131
2015-09-04,2.131,2.151
2015-09-07,2.151,2.186
2015-09-08,2.186,2.195
2015-09-09,2.195,2.227
2015-09-10,2.227,2.187
2015-09-11,2.187,2.183
2015-09-14,2.183,2.292
2015-09-15,2.292,2.296
2015-09-16,2.296,2.192
2015-09-17,2.192,2.134
2015-09-18,2.134,2.199
2015-09-21,2.199,2.132
2015-09-22,2.132,2.151
2015-09-23,2.151,2.128
2015-09-24,2.128,2.166
2015-09-25,2.166,2.098
2015-09-28,2.098,2.06
2015-09-29,2.06,2.035
2015-09-30,2.035,2.042
2015-10-01,2.042,1.991
2015-10-02,1.991,1.991
2015-10-03,1.991,2.058
2015-10-05,2.058,2.035
2015-10-06,2.035,2.065
2015-10-07,2.065,2.102
2015-10-08,2.102,2.09
2015-10-09,2.09,2.07
2015-10-12,2.07,2.042
2015-10-13,2.042,1.975
2015-10-14,1.975,2.019
2015-10-15,2.019,2.035
2015-10-16,2.035,2.023
2015-10-19,2.023,2.069
2015-10-20,2.069,2.028
2015-10-21,2.028,2.028
2015-10-22,2.028,2.087
2015-10-23,2.087,2.058
2015-10-26,2.058,2.037
2015-10-27,2.037,2.101
2015-10-28,2.101,2.172
2015-10-29,2.172,2.146
2015-10-30,2.146,2.176
2015-11-02,2.176,2.218
2015-11-03,2.218,2.227
2015-11-04,2.227,2.236
2015-11-05,2.236,2.325
2015-11-06,2.325,2.349
2015-11-09,2.349,2.336
2015-11-10,2.336,2.331
2015-11-11,2.331,2.315
2015-11-12,2.315,2.275
2015-11-13,2.275,2.271
2015-11-16,2.271,2.268
2015-11-17,2.268,2.273
2015-11-18,2.273,2.247
2015-11-19,2.247,2.264
2015-11-20,2.264,2.243
2015-11-23,2.243,2.239
2015-11-24,2.239,2.234
2015-11-25,2.234,2.224
2015-11-26,2.224,2.222
2015-11-27,2.222,2.208
2015-11-30,2.208,2.145
2015-12-01,2.145,2.178
2015-12-02,2.178,2.321
2015-12-03,2.321,2.273
2015-12-04,2.273,2.236
2015-12-07,2.236,2.222
2015-12-08,2.222,2.211
2015-12-09,2.211,2.234
2015-12-10,2.234,2.132
2015-12-11,2.132,2.225
2015-12-14,2.225,2.268
2015-12-15,2.268,2.298
2015-12-16,2.298,2.225
2015-12-17,2.225,2.204
2015-12-18,2.204,2.195
2015-12-21,2.195,2.237
2015-12-22,2.237,2.259
2015-12-23,2.259,2.245
2015-12-24,2.245,2.232
2015-12-28,2.232,2.308
2015-12-29,2.308,2.294
2015-12-30,2.294,2.269
2015-12-31,2.269,2.243
2016-01-04,2.243,2.239
2016-01-05,2.239,2.17
2016-01-06,2.17,2.149
2016-01-07,2.149,2.116
2016-01-08,2.116,2.175
2016-01-11,2.175,2.105
2016-01-12,2.105,2.091
2016-01-13,2.091,2.091
2016-01-14,2.091,2.037
2016-01-15,2.037,2.045
2016-01-18,2.045,2.056
2016-01-19,2.056,1.988
2016-01-20,1.988,2.028
2016-01-21,2.028,2.057
2016-01-22,2.057,2.006
2016-01-25,2.006,2.003
