Date,Front,Next
2015-05-18,1227.6,1206.7
2015-05-19,1206.7,1208.7
2015-05-20,1208.7,1204.1
2015-05-21,1204.1,1204.0
2015-05-22,1204.0,1186.9
2015-05-25,1186.9,1185.6
2015-05-27,1185.6,1188.8
2015-05-28,1188.8,1189.8
2015-05-29,1189.8,1188.7
2015-06-01,1188.7,1194.4
2015-06-02,1194.4,1184.9
2015-06-03,1184.9,1175.2
2015-06-04,1175.2,1168.1
2015-06-05,1168.1,1173.6
2015-06-08,1173.6,1177.6
2015-06-09,1177.6,1186.6
2015-06-10,1186.6,1180.4
2015-06-11,1180.4,1179.2
2015-06-12,1179.2,1185.8
2015-06-15,1185.8,1180.9
2015-06-16,1180.9,1176.8
2015-06-17,1176.8,1202.0
2015-06-18,1202.0,1201.9
2015-06-19,1201.9,1184.1
2015-06-22,1184.1,1176.6
2015-06-23,1176.6,1172.9
2015-06-24,1172.9,1171.8
2015-06-25,1171.8,1173.2
2015-06-26,1173.2,1179.0
2015-06-29,1179.0,1171.8
2015-06-30,1171.8,1169.3
2015-07-01,1169.3,1163.5
2015-07-02,1163.5,1173.2
2015-07-03,1173.2,1152.6
2015-07-07,1152.6,1163.5
2015-07-08,1163.5,1159.2
2015-07-09,1159.2,1157.9
2015-07-10,1157.9,1155.4
2015-07-13,1155.4,1153.5
2015-07-14,1153.5,1147.4
2015-07-15,1147.4,1143.9
2015-07-16,1143.9,1131.9
2015-07-17,1131.9,1106.8
2015-07-20,1106.8,1103.5
2015-07-21,1103.5,1091.5
2015-07-22,1091.5,1094.1
2015-07-23,1094.1,1085.5
2015-07-24,1085.5,1096.4
2015-07-27,1096.4,1096.2
2015-07-28,1096.2,1092.6
2015-07-29,1092.6,1088.7
2015-07-30,1088.7,1095.1
2015-07-31,1095.1,1089.4
2015-08-03,1089.4,1090.7
2015-08-04,1090.7,1085.6
2015-08-05,1085.6,1090.1
2015-08-06,1090.1,1094.1
2015-08-07,1094.1,1104.1
2015-08-10,1104.1,1107.7
2015-08-11,1107.7,1123.6
2015-08-12,1123.6,1115.6
2015-08-13,1115.6,1112.7
2015-08-14,1112.7,1118.4
2015-08-17,1118.4,1116.9
2015-08-18,1116.9,1127.9
2015-08-19,1127.9,1153.2
2015-08-20,1153.2,1159.6
2015-08-21,1159.6,1153.6
2015-08-24,1153.6,1138.3
2015-08-25,1138.3,1124.6
2015-08-26,1124.6,1122.6
2015-08-27,1122.6,1134.0
2015-08-28,1134.0,1132.5
2015-08-31,1132.5,1139.8
2015-09-01,1139.8,1133.6
2015-09-02,1133.6,1124.5
2015-09-03,1124.5,1121.4
2015-09-04,1121.4,1121.0
2015-09-07,1121.0,1102.0
2015-09-09,1102.0,1109.3
2015-09-10,1109.3,1103.3
2015-09-11,1103.3,1107.7
2015-09-14,1107.7,1102.6
2015-09-15,1102.6,1119.0
2015-09-16,1119.0,1117.0
2015-09-17,1117.0,1137.8
2015-09-18,1137.8,1132.8
2015-09-21,1132.8,1124.8
2015-09-22,1124.8,1131.5
2015-09-23,1131.5,1153.8
2015-09-24,1153.8,1145.6
2015-09-25,1145.6,1131.7
2015-09-28,1131.7,1126.8
2015-09-29,1126.8,1115.2
2015-09-30,1115.2,1113.7
2015-10-01,1113.7,1136.6
2015-10-02,1136.6,1137.6
2015-10-05,1137.6,1146.4
2015-10-06,1146.4,1148.7
2015-10-07,1148.7,1144.3
2015-10-08,1144.3,1155.9
2015-10-09,1155.9,1164.5
2015-10-12,1164.5,1165.4
2015-10-13,1165.4,1179.8
2015-10-14,1179.8,1187.5
2015-10-15,1187.5,1183.1
2015-10-16,1183.1,1172.8
2015-10-19,1172.8,1177.5
2015-10-20,1177.5,1167.1
2015-10-21,1167.1,1166.1
2015-10-22,1166.1,1162.8
2015-10-23,1162.8,1166.2
2015-10-26,1166.2,1165.8
2015-10-27,1165.8,1176.1
2015-10-28,1176.1,1147.3
2015-10-29,1147.3,1141.4
2015-10-30,1141.4,1135.9
2015-11-02,1135.9,1114.1
2015-11-03,1114.1,1106.2
2015-11-04,1106.2,1104.2
2015-11-05,1104.2,1087.7
2015-11-06,1087.7,1088.1
2015-11-09,1088.1,1088.5
2015-11-10,1088.5,1084.9
2015-11-11,1084.9,1081.0
2015-11-12,1081.0,1080.9
2015-11-13,1080.9,1083.6
2015-11-16,1083.6,1068.6
2015-11-17,1068.6,1068.7
2015-11-18,1068.7,1077.9
2015-11-19,1077.9,1076.3
2015-11-20,1076.3,1066.8
2015-11-23,1066.8,1073.8
2015-11-24,1073.8,1070.0
2015-11-25,1070.0,1056.2
2015-11-26,1056.2,1065.3
2015-11-30,1065.3,1063.5
2015-12-01,1063.5,1053.8
2015-12-02,1053.8,1061.2
2015-12-03,1061.2,1084.1
2015-12-04,1084.1,1075.2
2015-12-07,1075.2,1075.3
2015-12-08,1075.3,1076.5
2015-12-09,1076.5,1072.0
2015-12-10,1072.0,1075.7
2015-12-11,1075.7,1063.4
2015-12-14,1063.4,1061.6
2015-12-15,1061.6,1076.8
2015-12-16,1076.8,1049.6
2015-12-17,1049.6,1065.0
2015-12-18,1065.0,1080.6
2015-12-21,1080.6,1074.1
2015-12-22,1074.1,1068.3
2015-12-23,1068.3,1075.9
2015-12-24,1075.9,1068.3
2015-12-28,1068.3,1068.0
2015-12-29,1068.0,1059.8
2015-12-30,1059.8,1060.2
2015-12-31,1060.2,1075.2
2016-01-04,1075.2,1078.4
2016-01-05,1078.4,1091.9
2016-01-06,1091.9,1107.8
2016-01-07,1107.8,1097.9
2016-01-08,1097.9,1096.2
2016-01-11,1096.2,1085.2
2016-01-12,1085.2,1087.1
2016-01-13,1087.1,1073.6
2016-01-14,1073.6,1090.7
2016-01-15,1090.7,1089.1
2016-01-18,1089.1,1106.2
2016-01-20,1106.2,1098.2
2016-01-21,1098.2,1096.3
2016-01-22,1096.3,1105.3
2016-01-25,1105.3,1120.2
2016-01-26,1120.2,1115.8
2016-01-27,1115.8,1116.1
2016-01-28,1116.1,1116.4
2016-01-29,1116.4,1128.0
2016-02-01,1128.0,1127.2
2016-02-02,1127.2,1141.3
2016-02-03,1141.3,1157.5
2016-02-04,1157.5,1157.7
2016-02-05,1157.7,1197.9
2016-02-08,1197.9,1198.6
2016-02-09,1198.6,1194.6
2016-02-10,1194.6,1247.8
2016-02-11,1247.8,1239.4
2016-02-12,1239.4,1208.2
2016-02-15,1208.2,1211.4
2016-02-17,1211.4,1226.3
2016-02-18,1226.3,1230.8
2016-02-19,1230.8,1210.1
2016-02-22,1210.1,1222.6
2016-02-23,1222.6,1239.1
2016-02-24,1239.1,1238.8
2016-02-25,1238.8,1220.4
2016-02-26,1220.4,1234.4
