Date,Ensemble,Equity,Bonds,60/40
2015-08-14,,,,
2015-08-17,,,,
2015-08-18,,,,
2015-08-19,,,,
2015-08-20,,,,
2015-08-21,,,,
2015-08-24,,,,
2015-08-25,,,,
2015-08-26,,,,
2015-08-27,,,,
2015-08-28,,,,
2015-08-31,,,,
2015-09-01,,,,
2015-09-02,,,,
2015-09-03,,,,
2015-09-04,,,,
2015-09-09,,,,
2015-09-10,,,,
2015-09-11,,,,
2015-09-14,,,,
2015-09-15,,,,
2015-09-16,,,,
2015-09-17,,,,
2015-09-18,,,,
2015-09-21,,,,
2015-09-22,,,,
2015-09-23,,,,
2015-09-24,,,,
2015-09-25,,,,
2015-09-28,,,,
2015-09-29,,,,
2015-09-30,,,,
2015-10-01,,,,
2015-10-02,,,,
2015-10-05,,,,
2015-10-06,,,,
2015-10-07,,,,
2015-10-08,,,,
2015-10-09,,,,
2015-10-12,,,,
2015-10-13,,,,
2015-10-14,,,,
2015-10-15,,,,
2015-10-16,,,,
2015-10-19,,,,
2015-10-20,,,,
2015-10-21,,,,
2015-10-22,,,,
2015-10-23,,,,
2015-10-26,,,,
2015-10-27,,,,
2015-10-28,,,,
2015-10-29,,,,
2015-10-30,,,,
2015-11-02,,,,
2015-11-03,,,,
2015-11-04,,,,
2015-11-05,,,,
2015-11-06,,,,
2015-11-09,,,,
2015-11-10,,,,
2015-11-11,,,,
2015-11-12,-0.25672172472933025,-2.107268359113616,-0.8728341235939352,-1.6134946649057438
2015-11-13,-0.2567217247293302,-2.107268359113616,-0.8728341235939352,-1.6134946649057438
2015-11-16,-0.2567217247293302,-2.130600172331826,-0.8824413408014335,-1.631336639719669
2015-11-17,-0.2567217247293302,-2.130600172331826,-0.8824413408014335,-1.631336639719669
2015-11-18,-0.25672172472933025,-2.130600172331826,-0.8824413408014335,-1.631336639719669
2015-11-19,-0.25672172472933025,-2.130600172331826,-0.8824413408014335,-1.631336639719669
2015-11-20,-0.25672172472933025,-2.130600172331826,-0.8824413408014335,-1.631336639719669
2015-11-23,-0.25672172472933025,-2.130600172331826,-0.8824413408014335,-1.631336639719669
2015-11-24,-0.25672172472933025,-2.130600172331826,-0.8824413408014335,-1.631336639719669
2015-11-25,-0.25672172472933025,-2.130600172331826,-0.8824413408014335,-1.631336639719669
2015-11-30,-0.2597719717085761,-2.130600172331826,-0.8824413408014335,-1.631336639719669
2015-12-01,-0.2597719717085761,-2.130600172331826,-0.8824413408014335,-1.631336639719669
2015-12-02,-0.2627462657983285,-2.1458122448500214,-0.8887051353677493,-1.6429694010571125
2015-12-03,-0.2666068544546561,-2.1458122448500214,-0.8887051353677493,-1.6429694010571125
2015-12-04,-0.5138491091904295,-2.1458122448500214,-0.8887051353677493,-1.6429694010571125
2015-12-07,-0.5138491091904295,-2.1458122448500214,-0.8887051353677493,-1.6429694010571125
2015-12-08,-0.5138491091904295,-2.1458122448500214,-0.8887051353677493,-1.6429694010571125
2015-12-09,-0.5138491091904295,-2.1458122448500214,-0.8887051353677493,-1.6429694010571125
2015-12-10,-0.4632919470327454,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-11,-0.4632919470327454,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-14,-0.5518250394620586,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-15,-0.5518250394620586,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-16,-0.5518250394620586,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-17,-0.5518250394620586,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-18,-0.6494490137623443,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-21,-0.6494490137623443,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-22,-0.6494490137623443,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-23,-0.6494490137623443,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-24,-0.6494490137623443,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-28,-0.6796302568151192,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-29,-0.6796302568151192,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-30,-0.6796302568151192,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2015-12-31,-0.6796302568151192,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2016-01-04,-0.6796302568151192,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2016-01-05,-0.6796302568151192,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2016-01-06,-0.6796302568151192,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2016-01-07,-0.6796302568151192,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2016-01-08,-0.6796302568151192,-2.0424214785687793,-0.8461324668990026,-1.5639058739008682
2016-01-11,-0.6438582579961817,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-12,-0.6438582579961817,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-13,-0.6438582579961817,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-14,-0.6438582579961817,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-15,-0.6438582579961817,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-20,-0.6438582579961817,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-21,-0.6438582579961817,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-22,-0.6438582579961817,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-25,-0.7690079831511341,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-26,-0.7690079831511341,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-27,-0.7690079831511341,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-28,-0.7690079831511341,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-01-29,-0.7690079831511341,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-02-01,-0.8090267676548144,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-02-02,-0.8090267676548144,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-02-03,-0.8090267676548144,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-02-04,-0.8090267676548144,-1.9579397589024776,-0.8113458764481724,-1.4993022059207555
2016-02-05,-0.8090267676548144,-1.9671017090844778,-0.8151184441701724,-1.5063084031187555
2016-02-08,-0.8090267676548144,-1.9671017090844778,-0.8151184441701724,-1.5063084031187555
2016-02-09,-0.8090267676548144,-1.9671017090844778,-0.8151184441701724,-1.5063084031187555
2016-02-10,-0.7695925825243065,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-02-11,-0.7695925825243065,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-02-12,-1.230667818982705,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-02-17,-1.322747866986452,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-02-18,-1.322747866986452,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-02-19,-1.322747866986452,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-02-22,-1.322747866986452,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-02-23,-1.322747866986452,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-02-24,-1.322747866986452,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-02-25,-1.322747866986452,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-02-26,-1.322747866986452,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-02-29,-1.322747866986452,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
2016-03-01,-1.322747866986452,-1.9054487735825483,-0.7897319413164368,-1.4591620406761037
