Date,Ensemble,Equity,Bonds,60/40
2015-08-14,,,,
2015-08-17,,,,
2015-08-18,,,,
2015-08-19,,,,
2015-08-20,,,,
2015-08-21,,,,
2015-08-24,,,,
2015-08-25,,,,
2015-08-26,,,,
2015-08-27,,,,
2015-08-28,,,,
2015-08-31,,,,
2015-09-01,,,,
2015-09-02,,,,
2015-09-03,,,,
2015-09-04,,,,
2015-09-09,,,,
2015-09-10,,,,
2015-09-11,,,,
2015-09-14,,,,
2015-09-15,,,,
2015-09-16,,,,
2015-09-17,,,,
2015-09-18,,,,
2015-09-21,,,,
2015-09-22,,,,
2015-09-23,,,,
2015-09-24,,,,
2015-09-25,,,,
2015-09-28,,,,
2015-09-29,,,,
2015-09-30,,,,
2015-10-01,,,,
2015-10-02,,,,
2015-10-05,,,,
2015-10-06,,,,
2015-10-07,,,,
2015-10-08,,,,
2015-10-09,,,,
2015-10-12,,,,
2015-10-13,,,,
2015-10-14,,,,
2015-10-15,,,,
2015-10-16,,,,
2015-10-19,,,,
2015-10-20,,,,
2015-10-21,,,,
2015-10-22,,,,
2015-10-23,,,,
2015-10-26,,,,
2015-10-27,,,,
2015-10-28,,,,
2015-10-29,,,,
2015-10-30,,,,
2015-11-02,,,,
2015-11-03,,,,
2015-11-04,,,,
2015-11-05,,,,
2015-11-06,,,,
2015-11-09,,,,
2015-11-10,,,,
2015-11-11,,,,
2015-11-12,-0.2567217247293302,-1.530375400718269,-0.6352899642546747,-1.1723412261328314
2015-11-13,-0.2567217247293302,-1.5277975207919188,-0.634228484285001,-1.1703699061891517
2015-11-16,-0.2567217247293302,-1.6101929628692415,-0.6681560192580163,-1.2333781854247514
2015-11-17,-0.2567217247293302,-1.6055266002255992,-0.6662345758165166,-1.2298097904619663
2015-11-18,-0.2567217247293302,-1.6008602375819574,-0.664313132375017,-1.2262413954991813
2015-11-19,-0.2567217247293302,-1.5961938749383155,-0.6623916889335174,-1.2226730005363962
2015-11-20,-0.2567217247293302,-1.5915275122946735,-0.6604702454920177,-1.219104605573611
2015-11-23,-0.2567217247293302,-1.5868611496510314,-0.658548802050518,-1.215536210610826
2015-11-24,-0.2567217247293302,-1.5821947870073894,-0.6566273586090184,-1.2119678156480411
2015-11-25,-0.2567217247293302,-1.5775284243637475,-0.6547059151675187,-1.208399420685256
2015-11-30,-0.2567217247293302,-1.5728620617201052,-0.652784471726019,-1.204831025722471
2015-12-01,-0.2567217247293302,-1.5681956990764634,-0.6508630282845194,-1.2012626307596859
2015-12-02,-0.2567217247293302,-1.647112900465644,-0.6833583465035938,-1.261611078880824
2015-12-03,-0.2567217247293302,-1.644070485962005,-0.6821055875903307,-1.2592845266133352
2015-12-04,-0.29820508364707426,-1.6410280714583658,-0.6808528286770675,-1.2569579743458466
2015-12-07,-0.2878342439176383,-1.6379856569547269,-0.6796000697638044,-1.2546314220783579
2015-12-08,-0.2774634041882022,-1.6349432424510875,-0.6783473108505412,-1.2523048698108692
2015-12-09,-0.26709256445876617,-1.6319008279474485,-0.6770945519372781,-1.2499783175433803
2015-12-10,-0.26106329840200904,-1.6288584134438095,-0.6758417930240149,-1.2476517652758916
2015-12-11,-0.26084621971837507,-1.6241920508001675,-0.6739203495825152,-1.2440833703131067
2015-12-14,-0.4438309972264465,-1.6195256881565252,-0.6719989061410155,-1.2405149753503213
2015-12-15,-0.43929166569519273,-1.6148593255128834,-0.670077462699516,-1.2369465803875364
2015-12-16,-0.4310093811542401,-1.6101929628692415,-0.6681560192580163,-1.2333781854247514
2015-12-17,-0.4227270966132875,-1.6055266002255992,-0.6662345758165166,-1.2298097904619663
2015-12-18,-0.4647403405264605,-1.6008602375819574,-0.664313132375017,-1.2262413954991813
2015-12-21,-0.4646973532972884,-1.5961938749383155,-0.6623916889335173,-1.2226730005363962
2015-12-22,-0.4646543660681163,-1.5915275122946735,-0.6604702454920177,-1.219104605573611
2015-12-23,-0.46461137883894416,-1.5868611496510314,-0.658548802050518,-1.215536210610826
2015-12-24,-0.464568391609772,-1.5821947870073894,-0.6566273586090184,-1.2119678156480411
2015-12-28,-0.4955934074293878,-1.5775284243637475,-0.6547059151675187,-1.208399420685256
2015-12-29,-0.49219394703739944,-1.5728620617201052,-0.652784471726019,-1.2048310257224708
2015-12-30,-0.48879448664541114,-1.5681956990764634,-0.6508630282845194,-1.2012626307596859
2015-12-31,-0.4853950262534229,-1.5635293364328215,-0.6489415848430198,-1.1976942357969007
2016-01-04,-0.4819955658614346,-1.5588629737891795,-0.6470201414015202,-1.1941258408341158
2016-01-05,-0.47859610546944636,-1.5541966111455374,-0.6450986979600204,-1.1905574458713306
2016-01-06,-0.47519664507745807,-1.5495302485018954,-0.6431772545185208,-1.1869890509085455
2016-01-07,-0.4717971846854698,-1.5448638858582533,-0.6412558110770212,-1.1834206559457605
2016-01-08,-0.46839772429348153,-1.5401975232146112,-0.6393343676355215,-1.1798522609829756
2016-01-11,-0.46499826390149324,-1.5355311605709694,-0.6374129241940218,-1.1762838660201904
2016-01-12,-0.4649552766723211,-1.5329532806446193,-0.6363514442243483,-1.174312546076511
2016-01-13,-0.464912289443149,-1.530375400718269,-0.6352899642546747,-1.1723412261328314
2016-01-14,-0.4648693022139769,-1.5277975207919188,-0.634228484285001,-1.1703699061891517
2016-01-15,-0.46482631498480476,-1.5252196408655687,-0.6331670043153275,-1.1683985862454722
2016-01-20,-0.46478332775563264,-1.5226417609392184,-0.6321055243456539,-1.1664272663017927
2016-01-21,-0.4647403405264605,-1.5200638810128682,-0.6310440443759802,-1.164455946358113
2016-01-22,-0.4646973532972884,-1.517486001086518,-0.6299825644063066,-1.1624846264144335
2016-01-25,-0.5057917886053526,-1.5149081211601678,-0.6289210844366331,-1.160513306470754
2016-01-26,-0.5023923282133642,-1.5123302412338178,-0.6278596044669594,-1.1585419865270745
2016-01-27,-0.4989928678213761,-1.5097523613074677,-0.6267981244972859,-1.1565706665833948
2016-01-28,-0.4955934074293877,-1.5071744813811172,-0.6257366445276122,-1.1545993466397153
2016-01-29,-0.49219394703739944,-1.5045966014547671,-0.6246751645579386,-1.1526280266960358
2016-02-01,-0.5540871202621385,-1.502018721528417,-0.623613684588265,-1.150656706752356
2016-02-02,-0.5510728847591557,-1.4994408416020666,-0.6225522046185914,-1.1486853868086768
2016-02-03,-0.5480586492561729,-1.4968629616757165,-0.6214907246489177,-1.146714066864997
2016-02-04,-0.54504441375319,-1.4942850817493665,-0.6204292446792442,-1.1447427469213174
2016-02-05,-0.5420301782502073,-1.5437769157347696,-0.6408082351438219,-1.1825894434983906
2016-02-08,-0.5390159427472243,-1.5410283306801695,-0.639676464827222,-1.1804875843389906
2016-02-09,-0.5360017072442416,-1.5382797456255695,-0.6385446945106219,-1.1783857251795906
2016-02-10,-0.5329874717412588,-1.5355311605709694,-0.6374129241940218,-1.1762838660201904
2016-02-11,-0.5295880113492704,-1.5329532806446193,-0.6363514442243483,-1.174312546076511
2016-02-12,-0.5872437107949495,-1.530375400718269,-0.6352899642546747,-1.1723412261328314
2016-02-17,-0.6125096345607004,-1.5277975207919188,-0.634228484285001,-1.1703699061891517
2016-02-18,-0.6113780196924777,-1.5252196408655687,-0.6331670043153275,-1.1683985862454722
2016-02-19,-0.6102464048242551,-1.5226417609392184,-0.6321055243456539,-1.1664272663017927
2016-02-22,-0.6091147899560324,-1.5200638810128682,-0.6310440443759802,-1.164455946358113
2016-02-23,-0.6079831750878097,-1.517486001086518,-0.6299825644063066,-1.1624846264144335
2016-02-24,-0.6068515602195871,-1.5149081211601678,-0.6289210844366331,-1.160513306470754
2016-02-25,-0.6057199453513644,-1.5123302412338178,-0.6278596044669594,-1.1585419865270745
2016-02-26,-0.6045883304831418,-1.5097523613074677,-0.6267981244972859,-1.1565706665833948
2016-02-29,-0.6034567156149191,-1.5071744813811172,-0.6257366445276122,-1.1545993466397153
2016-03-01,-0.6023251007466965,-1.5045966014547671,-0.6246751645579386,-1.1526280266960358
